"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"232","DeMarvin Leal (PIT)","8","6","0","3","0","0","0","0","8","23.7","3.0","0.7%"
"233","Jordan Davis (PHI)","8","10","0","1","0","0","0","0","8","23.6","3.0","6.7%"
"234","Linval Joseph (FA)","8","12","0.5","0","0","0","0","0","8","23.3","2.9","0.0%"
"235","Isaiah Thomas (FA)","4","5","1","2","0","0","1","0","8","23.3","2.9","0.1%"
"236","Vinny Curry (FA)","9","6","0","0","0","0","0","0","10","23.2","2.3","0.0%"
"237","Otito Ogbonnia (LAC)","13","1","0","0","0","0","0","0","6","22.8","3.8","1.3%"
"238","Amare Barno (CAR)","6","1","2","0","0","0","0","0","5","22.8","4.6","0.4%"
"239","Eyioma Uwazurike (DEN)","11","6","0","1","0","0","0","0","7","22.7","3.2","7.0%"
"240","Quinton Bohanna (DAL)","7","12","0","0","0","0","0","0","13","22.2","1.7","0.4%"
"241","Ryder Anderson (NYG)","4","4","2","0","0","0","0","0","5","22.1","4.4","7.0%"
"242","Marquan McCall (CAR)","7","8","0","0","0","0","0","0","12","21.8","1.8","0.0%"
"243","Jay Tufele (CIN)","6","10","0","0","0","0","0","0","7","21.6","3.1","0.1%"
"244","John Jenkins (LV)","8","12","0","0","0","0","0","0","13","21.3","1.6","0.1%"
"245","Romeo Okwara (DET)","3","5","2","0","0","0","0","0","6","21.3","3.6","2.9%"
"246","Carl Davis Jr. (NE)","3","8","1","0","0","0","1","0","10","21.2","2.1","1.7%"
"247","Myles Adams (SEA)","6","10","0","1","0","0","0","0","8","20.8","2.6","0.7%"
"248","Isaac Rochell (FA)","11","2","0","0","0","0","0","0","6","20.6","3.4","0.3%"
"249","Emmanuel Ogbah (MIA)","7","4","1","0","0","0","0","0","8","20.2","2.5","2.6%"
"250","Tommy Togiai (CLE)","3","10","0.5","1","0","0","1","0","10","19.7","2.0","0.3%"
"251","Arik Armstead (SF)","8","3","0","0","0","0","0","0","8","19.4","2.4","6.3%"
"252","Henry Mondeaux (JAC)","5","11","0","0","0","0","0","0","9","18.5","2.1","2.1%"
"253","Jalen Dalton (FA)","8","5","0","0","0","0","0","0","7","18.4","2.6","0.1%"
"254","Nick Williams (LAC)","5","10","0","2","0","0","0","0","8","18.1","2.3","0.3%"
"255","K'Lavon Chaisson (JAC)","6","3","1","0","0","0","0","0","8","17.9","2.2","1.1%"
"256","Victor Dimukeje (ARI)","10","3","0","0","0","0","0","0","11","17.4","1.6","0.3%"
"257","Tyson Alualu (FA)","5","8","0.5","1","0","0","0","0","11","17.3","1.6","0.1%"
"258","Byron Cowart (HOU)","4","8","0","0","0","0","0","0","10","17.3","1.7","0.3%"
"259","Patrick Johnson (PHI)","5","2","0","0","0","1","1","0","14","17.1","1.2","0.4%"
"260","Joe Gaziano (ATL)","6","2","1","0","0","0","0","0","5","17.1","3.4","2.7%"
"261","Austin Bryant (SF)","7","2","0","1","0","0","0","0","5","16.1","3.2","4.4%"
"262","Tershawn Wharton (KC)","4","4","1","0","0","0","0","0","4","15.6","3.9","1.3%"
"263","Michael Dwumfour (CLE)","7","1","0","0","0","0","1","0","9","15.3","1.7","0.3%"
"264","Derrek Tuszka (FA)","7","6","0","0","0","0","0","0","10","15.2","1.5","0.0%"
"265","T.Y. McGill Jr. (SF)","5","3","0","0","0","0","0","0","6","14.9","2.5","0.3%"
"266","Ndamukong Suh (FA)","4","6","1","0","0","0","0","0","5","14.7","2.9","0.1%"
"267","Matt Dickerson (KC)","3","9","0","0","0","0","0","0","5","13.9","2.8","0.3%"
"268","Christian Covington (DET)","3","9","0","0","0","0","0","0","4","13.8","3.5","0.1%"
"269","Neil Farrell Jr. (LV)","3","9","0","0","0","0","0","0","8","13.8","1.7","0.4%"
"270","Kyle Peko (FA)","5","6","0","1","0","0","0","0","7","13.7","2.0","0.0%"
"271","Sam Okuayinonu (TEN)","3","8","0.5","0","0","0","0","0","6","12.7","2.1","0.1%"
"272","Bobby Brown III (LAR)","5","3","0","0","0","0","0","0","9","12.4","1.4","0.1%"
"273","Ross Blacklock (MIN)","2","0","1","0","0","0","0","0","5","12.0","2.4","2.7%"
"274","Michael Pierce (BAL)","4","2","0","0","0","1","0","0","3","11.6","3.9","4.2%"
"275","Earnest Brown IV (LAR)","3","6","0","0","0","0","0","0","6","11.6","1.9","0.3%"
"276","Taylor Stallworth (CAR)","3","5","0","0","0","0","0","0","5","10.9","2.2","1.6%"
"277","Isaiahh Loudermilk (PIT)","4","3","0","0","0","0","0","0","5","10.8","2.2","0.6%"
