"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"107","Sean McKeon (DAL)","2","3","11","5.5","10","0","0","0","0","0","0","3","1.1","0.4","0.0%"
"108","Stephen Anderson (FA)","3","7","9","3.0","6","0","0","0","0","0","0","9","0.9","0.1","0.0%"
"109","Jeremy Ruckert (NYJ)","1","2","8","8.0","8","0","0","0","0","0","0","2","0.8","0.4","0.1%"
"110","Tommy Sweeney (NYG)","1","1","7","7.0","7","0","0","0","0","0","0","2","0.7","0.4","0.0%"
"111","Mason Schreck (HOU)","2","2","6","3.0","6","0","0","0","0","0","0","2","0.6","0.3","0.0%"
"112","Jacob Harris (JAC)","1","1","6","6.0","6","0","0","0","0","0","0","3","0.6","0.2","0.0%"
"113","Devin Asiasi (CIN)","2","4","5","2.5","6","0","0","0","0","0","0","5","0.5","0.1","0.1%"
"114","Richard Rodgers (FA)","1","4","4","4.0","4","0","0","0","0","0","0","3","0.4","0.1","0.0%"
"115","Hakeem Butler (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Brandon Dillon (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","J.J. Arcega-Whiteside (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Kaden Smith (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"120","Charlie Woerner (SF)","0","2","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"121","Noah Togiai (ARI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","Dalton Keene (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Lawrence Cager (NYG)","13","19","118","9.1","20","1","1","0","0","0","0","6","0.0","0.0","0.0%"
"124","Jared Pinkney (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"125","Matthew Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"126","Chase Allen (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Matt Sokol (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Reggie Gilliam (BUF)","9","11","76","8.4","14","0","1","0","0","0","0","8","0.0","0.0","0.1%"
"129","Rashod Berry (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Alize Mack (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Tyree Jackson (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"132","Scotty Washington (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Tommy Hudson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Nick Bowers (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Jake Bargas (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Feleipe Franks (ATL)","0","2","0","0","0","0","0","1","0","0","0","5","0.0","0.0","0.0%"
"138","Curtis Hodges (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Chris Pierce Jr. (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"140","Leroy Watson (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Jake Tonges (CHI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"142","Rodney Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Justin Rigg (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Zaire Mitchell-Paden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Cole Fotheringham (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Tucker Fisk (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Cameron Latu (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"148","Derrick Deese Jr. (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Nikola Kalinic (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"150","John FitzPatrick (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Tanner Conner (MIA)","0","3","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"152","Gerrit Prince (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Nick Muse (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Lucas Krull (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Seth Green (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Noah Gindorff (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Andrew Ogletree (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","E.J. Jenkins (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Thomas Greaney (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Travis Vokolek (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Julian Hill (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Johnny Lumpkin (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Ryan Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Nate Adkins (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","John Samuel Shenker (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Brady Russell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Ryan Jones (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Dalton Kincaid (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.2%"
"172","Luke Schoonmaker (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"173","Luke Musgrave (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.4%"
"174","Tucker Kraft (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"175","Brenton Strange (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"176","Payne Durham (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"178","Ben Sims (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Christian Trahan (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Griffin Hebert (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Camren McDonald (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Blake Whiteheart (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Joel Honigford (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Christian Sims (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Michael Ezeike (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Joel Wilson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Brayden Willis (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Will Mallory (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"190","Dominique Dafney (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Hunter Thedford (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Hunter Long (LAR)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"193","Kenny Yeboah (NYJ)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"194","Miller Forristall (NO)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"195","Matt Bushman (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Austin Allen (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"197","Ben Mason (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"198","Hunter Kampmoyer (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Zach Davidson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Nick Guggemos (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Josh Pederson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Davis Allen (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Josh Whyle (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"205","Darnell Washington (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"206","Sam LaPorta (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.7%"
"207","Sammis Reyes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Michael Mayer (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.4%"
"209","Elijah Higgins (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"210","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"222","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"223","Troy Fumagalli (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Jordan Thomas (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","David Wells (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Kevin Rader (TEN)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"227","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.2%"
"228","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"229","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"230","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"231","Jesse James (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Nick Boyle (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"233","Drew Sample (CIN)","2","2","-2","-1.0","2","0","0","0","0","0","0","2","-0.2","-0.1","0.1%"
""
""
