"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"271","Josh Blackwell (CHI)","8","4","0","0","0","0","1","0","10","19.0","1.9","0.0%"
"272","Quentin Lake (LAR)","6","2","1","1","0","0","0","0","3","18.5","6.2","0.7%"
"273","Tony Adams (NYJ)","9","6","0","0","0","0","0","0","5","18.1","3.6","0.8%"
"274","Christian Holmes (WAS)","6","1","0","0","0","0","2","0","10","17.8","1.8","6.7%"
"275","J.T. Gray (NO)","2","3","2.5","0","0","0","0","0","10","17.8","1.8","0.1%"
"276","Siran Neal (BUF)","6","3","0","4","0","0","0","0","11","17.4","1.6","0.4%"
"277","Grant Haley (FA)","6","5","0","3","0","0","0","0","4","17.3","4.3","0.0%"
"278","Greg Mabin (CAR)","10","3","0","0","0","0","0","0","5","17.3","3.5","0.1%"
"279","Zech McPhearson (PHI)","6","0","1","1","0","0","0","0","11","17.0","1.5","0.4%"
"280","Chris Banjo (FA)","3","3","0","0","0","0","1","1","8","16.9","2.1","0.0%"
"281","Nick Cross (IND)","8","1","0","0","0","0","1","0","9","16.8","1.9","1.4%"
"282","Andrew Booth Jr. (MIN)","11","0","0","0","0","0","0","0","3","16.5","5.5","1.7%"
"283","Demetrius Flannigan-Fowles (SF)","6","1","1","0","0","0","0","0","11","16.3","1.5","1.1%"
"284","Sidney Jones IV (CIN)","7","5","0","1","0","0","0","0","6","15.9","2.7","1.1%"
"285","Dax Hill (CIN)","9","3","0","0","0","0","0","0","11","15.8","1.4","8.6%"
"286","A.J. Parker (SF)","10","1","0","0","0","0","0","0","4","15.8","4.0","0.3%"
"287","Greg Stroman Jr. (CHI)","4","4","0","1","1","0","0","0","1","15.5","15.5","0.3%"
"288","Caleb Farley (TEN)","9","1","0","0","0","0","0","0","6","14.3","2.4","3.9%"
"289","Dean Marlowe (BUF)","9","1","0","0","0","0","0","0","7","14.3","2.0","0.4%"
"290","Jordan Fuller (LAR)","8","3","0","0","0","0","0","0","3","14.3","4.8","4.7%"
"291","Terrell Burgess (WAS)","7","4","0","0","0","0","0","0","2","13.6","6.8","2.0%"
"292","Cam Lewis (BUF)","8","2","0","0","0","0","0","0","10","13.5","1.4","0.3%"
"293","Percy Butler (WAS)","4","2","0","1","0","0","1","0","8","13.1","1.6","0.5%"
"294","Daryl Worley (BAL)","4","1","0","2","0","0","0","0","3","12.3","4.1","0.1%"
"295","Josh Jackson (FA)","5","1","0","0","0","0","1","0","4","12.3","3.1","0.0%"
"296","Tanner Muse (PIT)","5","4","0","1","0","0","0","0","8","12.1","1.5","1.7%"
"297","Lonnie Johnson Jr. (NO)","7","2","0","0","0","0","0","0","8","12.1","1.5","0.4%"
"298","Marcell Harris (FA)","6","4","0","0","0","0","0","0","8","12.1","1.5","0.3%"
"299","Jalyn Armour-Davis (BAL)","4","2","0","1","0","0","0","0","3","11.6","3.9","0.8%"
"300","Kris Boyd (ARI)","4","2","0","0","0","0","1","0","9","11.6","1.3","0.3%"
"301","C.J. Moore (DET)","2","3","0","1","0","0","1","0","9","10.9","1.2","21.0%"
"302","Mike Ford (CLE)","3","5","0","0","0","0","0","0","14","10.9","0.8","0.3%"
"303","Dallis Flowers (IND)","6","2","0","0","0","0","0","0","10","10.6","1.1","2.8%"
"304","Josh Norman (FA)","6","2","0","0","0","0","0","0","2","10.5","5.3","1.6%"
"305","T.J. Carrie (FA)","3","2","0","0","0","0","1","0","3","10.0","3.3","0.1%"
"306","Greedy Williams (PHI)","5","3","0","0","0","0","0","0","6","9.9","1.7","1.3%"
"307","Teez Tabor (FA)","5","3","0","0","0","0","0","0","6","9.9","1.7","0.0%"
"308","Elijah Campbell (MIA)","4","3","0","1","0","0","0","0","12","9.9","0.8","0.3%"
"309","Ja'Quan McMillian (DEN)","6","1","0","0","0","0","0","0","1","9.8","9.8","0.0%"
"310","Brandin Echols (NYJ)","4","1","0","2","0","0","0","0","9","9.8","1.1","1.1%"
"311","Elijah Molden (TEN)","4","1","0","0","0","0","0","0","3","9.3","3.1","0.4%"
"312","Sean Chandler (CAR)","5","2","0","0","0","0","0","0","9","9.1","1.0","6.3%"
"313","Dee Alford (ATL)","18","7","0.5","7","1","0","0","0","16","9.0","0.6","1.7%"
"314","Aaron Robinson (NYG)","5","0","0","1","0","0","0","0","2","9.0","4.5","1.9%"
"315","Micah Hyde (BUF)","4","3","0","0","0","0","0","0","3","8.3","2.8","7.0%"
