"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"232","Chris Board (NE)","12","0","0","1","0","1","0","0","14","0.0","0.0","0.5%"
"233","Trent Sieg (DAL)","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"234","Tae Davis (ATL)","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"235","Ezekiel Turner (ARI)","9","5","0","0","0","1","0","0","10","0.0","0.0","1.1%"
"236","Jonathan Kongbo (FA)","1","0","0","0","0","0","0","0","2","0.0","0.0","1.1%"
"237","Trevis Gipson (CHI)","17","14","3","3","0","0","0","0","16","0.0","0.0","3.7%"
"238","Darrell Taylor (SEA)","22","4","9.5","1","0","4","1","0","14","0.0","0.0","2.4%"
"239","Hamsah Nasirildeen (NYJ)","1","1","0","0","0","0","0","0","2","0.0","0.0","1.4%"
"240","Josh Uche (NE)","23","4","11.5","0","0","2","0","0","14","0.0","0.0","2.9%"
"241","Terrell Lewis (CHI)","9","4","1","2","1","0","0","0","11","0.0","0.0","0.7%"
"242","K'Lavon Chaisson (JAC)","6","3","1","0","0","0","0","0","8","0.0","0.0","1.1%"
"243","Julian Okwara (DET)","10","7","2","0","0","0","0","0","11","0.0","0.0","0.3%"
"244","Jake Gervase (FA)","0","0","0","0","0","0","0","0","7","0.0","0.0","19.2%"
"245","Cam Brown (NYG)","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"246","Keandre Jones (CIN)","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"247","De'Jon Harris (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"248","Justin Strnad (DEN)","0","0","0","0","0","0","0","0","5","0.0","0.0","0.4%"
"249","Janarius Robinson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"250","D.J. Wonnum (MIN)","23","11","4","0","0","1","0","0","16","0.0","0.0","0.9%"
"251","Tanner Muse (PIT)","5","4","0","1","0","0","0","0","8","0.0","0.0","1.7%"
"252","Tipa Galeai (FA)","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"253","Jonathan Garvin (GB)","0","8","0","2","0","0","0","0","11","0.0","0.0","0.1%"
"254","La'Darius Hamilton (GB)","0","1","0","0","0","0","0","0","3","0.0","0.0","0.3%"
"255","Alton Robinson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"256","Joe Giles-Harris (FA)","0","0","0","0","0","0","0","0","2","0.0","0.0","0.3%"
"257","Terez Hall (NE)","0","0","0","0","0","0","0","0","0","0","0","1.2%"
