"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"215","Tyler Johnson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"216","Stanley Morgan Jr. (CIN)","0","1","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"217","KeeSean Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Gary Jennings Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Keelan Doss (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"221","Trinity Benson (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"222","Alex Bachman (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"223","Malik Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Darrius Shepherd (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Malik Turner (IND)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"226","Hakeem Butler (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Collin Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","J.J. Arcega-Whiteside (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Jeff Cotton Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Kristian Wilkerson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Reggie Roberson Jr. (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Marquez Stevenson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Dazz Newsome (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Dez Fitzpatrick (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Demetric Felton Jr. (CLE)","2","4","8","4.0","5","0","0","1","-4","0","0","6","0.0","0.0","0.0%"
"237","Dan Chisena (PIT)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"238","Joe Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Charleston Rambo (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","John Hightower (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Scotty Washington (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","2.5%"
"245","Isaiah Coulter (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"247","Ja'Marcus Bradley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Tarik Black (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Binjimen Victor (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"251","Lynn Bowden Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Irvin Charles (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Rodney Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Kwamie Lassiter II (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Kendric Pryor (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Mike Harley Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Kekoa Crawford (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Ethan Fernea (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Lance McCutcheon (LAR)","0","5","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"260","Gavin Holmes (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Jaray Jenkins (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Bryce Ford-Wheaton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"263","Jake Bobo (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"264","Jalen Wayne (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"265","Tre Tucker (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"266","Charlie Jones (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"267","Andrei Iosivas (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"268","Derius Davis (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"269","Michael Wilson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"270","Xavier Hutchinson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"271","Trey Palmer (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"272","Demario Douglas (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"273","Cedric Tillman (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"274","Josh Ali (ATL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"275","Jalin Hyatt (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.7%"
"276","Raleigh Webb (NE)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"277","Jalen Moreno-Cropper (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"278","Devon Allen (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"279","A.T. Perry (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"280","Dontayvion Wicks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"281","Mitchell Tinsley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"282","Shemar Bridges (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"283","Josh Downs (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3%"
"284","Chris Pierce Jr. (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"285","Derek Wright (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"286","Ra'Shaun Henry (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"287","Kyric McGowan (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"288","Jesse Matthews (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"289","Tank Dell (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9%"
"290","Jadakis Bonds (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"291","Ed Lee (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"292","Garett Maag (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"293","Malachi Carter (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"294","Jerome Kapp (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"295","Lucky Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"296","Tyrell Shavers (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"297","Dontay Demus Jr. (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"298","Sean Ryan (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"299","Braxton Burmeister (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"300","Kade Warner (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"301","Ryan Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"302","Taylor Grimes (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"303","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"304","Tre'Shaun Harrison (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"305","Dylan Drummond (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"306","Bryan Thompson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Brian Cobbs (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"308","Jose Barbon (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"309","David Durden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"310","Chris Coleman (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"311","Daewood Davis (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"312","Kody Case (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"313","Terrell Bynum (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"314","Jordan Byrd (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"315","Shaquan Davis (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
